NEXTFLEX_ID,Nextera_i7,seqlev,hamming
UDI0376,v2_Ad2.66,5,7
UDI0346,v2_Ad2.30,5,6
UDI0319,v2_Ad2.14,6,7
UDI0355,v2_Ad2.38,5,7
UDI0377,v2_Ad2.68,4,7
UDI0356,v2_Ad2.90,4,5
UDI0295,v2_Ad2.67,5,6
UDI0349,v2_Ad2.35,5,6
UDI0328,v2_Ad2.7,4,5
UDI0289,v2_Ad2.40,5,7
UDI0366,v2_Ad2.56,4,6
UDI0309,v2_Ad2.42,5,6
UDI0329,v2_Ad2.26,3,7
UDI0293,v2_Ad2.44,4,6
UDI0384,v2_Ad2.11,6,6
UDI0342,v2_Ad2.40,4,4
UDI0292,v2_Ad2.67,3,7
UDI0292,v2_Ad2.33,5,6
UDI0336,v2_Ad2.47,3,5
UDI0342,v2_Ad2.66,4,6
UDI0369,v2_Ad2.74,5,7
UDI0337,v2_Ad2.48,4,7
UDI0360,v2_Ad2.18,6,6
UDI0369,v2_Ad2.14,5,6
UDI0295,v2_Ad2.81,5,7
UDI0345,v2_Ad2.84,4,6
UDI0300,v2_Ad2.33,2,5
UDI0355,v2_Ad2.60,4,6
UDI0308,v2_Ad2.34,3,5
UDI0343,v2_Ad2.5,4,7
UDI0319,v2_Ad2.48,3,5
UDI0350,v2_Ad2.16,2,5
UDI0312,v2_Ad2.43,3,5
UDI0361,v2_Ad2.29,4,5
UDI0384,v2_Ad2.48,6,6
UDI0338,v2_Ad2.11,4,6
UDI0343,v2_Ad2.70,4,7
UDI0333,v2_Ad2.81,4,6
UDI0299,v2_Ad2.60,4,5
UDI0299,v2_Ad2.5,5,7
UDI0354,v2_Ad2.10,5,8
UDI0293,v2_Ad2.5,4,5
UDI0294,v2_Ad2.80,4,5
UDI0296,v2_Ad2.20,5,5
UDI0345,v2_Ad2.40,4,5
UDI0301,v2_Ad2.19,4,7
UDI0307,v2_Ad2.23,4,6
UDI0310,v2_Ad2.80,4,5
UDI0336,v2_Ad2.10,5,7
UDI0338,v2_Ad2.85,3,5
UDI0300,v2_Ad2.40,4,6
UDI0338,v2_Ad2.86,3,6
UDI0289,v2_Ad2.12,5,5
UDI0349,v2_Ad2.84,5,6
UDI0334,v2_Ad2.55,5,6
UDI0300,v2_Ad2.68,3,4
UDI0320,v2_Ad2.22,4,4
UDI0314,v2_Ad2.26,3,4
UDI0321,v2_Ad2.52,5,6
UDI0317,v2_Ad2.27,5,6
UDI0340,v2_Ad2.31,4,6
